job_description,sentiment,transformed_text
"Sr. Data Analyst, Clinical Speciality Programs Cohere Health Boston, MA Unknown",neutral,data analyst clinic special program coher health boston unknown
"IT Analyst, Principal - Service Desk Supervisor Town of Queen Creek, AZ Queen Creek, AZ Unknown",negative,analyst princip servic desk supervisor town queen creek az queen creek az unknown
"Senior Financial Analyst - Commercial Development Labcorp Indianapolis, IN Senior",neutral,senior financi analyst commerci develop labcorp indianapoli senior
Data Analyst/Engineer/Scientist Right Talents Remote Unknown,positive,data right talent remot unknown
Reporting/Data Analyst IV V-Soft Consulting Remote Unknown,negative,analyst iv consult remot unknown
"Sr. IT Business Analyst TK Elevator Corporation Atlanta, GA Unknown",negative,busi analyst tk elev corpor atlanta ga unknown
"Senior Business Data Analyst Hashmap Irving, TX Senior",neutral,senior busi data analyst hashmap irv tx senior
"Behavioral Health & Recovery Services Analyst II-Alcohol & Other Drug Services (Open & Promotional) County of San Mateo San Mateo, CA Unknown",neutral,behavior health recoveri servic analyst drug servic open promot counti san mateo san mateo ca unknown
"THCE Senior Data Analytics Analyst Trinity Health Livonia, MI Senior",neutral,thce senior data analyt analyst triniti health livonia mi senior
"SR Business Intelligence Analyst/AD, Business Intelligence Boehringer Ingelheim Animal Health USA Duluth, GA Unknown",positive,sr busi intellig busi intellig boehring ingelheim anim health usa duluth ga unknown
"Business Analyst III (Data Engineering) ICW Group San Diego, CA Unknown",negative,busi analyst iii data engin icw group san diego ca unknown
"Data Privacy Analyst III Expedia Group Seattle, WA Unknown",negative,data privaci analyst iii expedia group seattl wa unknown
"Senior Business Analyst - Business Development Allianz Commercial Chicago, IL Senior",neutral,senior busi analyst busi develop allianz commerci chicago il senior
Sr. Business Systems Analyst New American Funding United States Unknown,negative,busi system analyst new american fund unit state unknown
Business Analyst Consultant - Remote/Contract FutureSense Remote Unknown,negative,busi analyst consult futuresens remot unknown
"Senior Systems Analyst - GIS and Data Systems* San Bernardino County San Bernardino, CA Senior",neutral,senior system analyst gi data system san bernardino counti san bernardino ca senior
"SENIOR OPERATIONS RESEARCH ANALYST/DATA SCIENTIST Veracity Engineering Washington, DC Senior",neutral,senior oper research scientist verac engin washington dc senior
"Business Analyst CIPPlanner San Ramon, CA Unknown",negative,busi analyst cipplann san ramon ca unknown
Data Governance Senior Analyst Stifel United States Senior,neutral,data govern senior analyst stifel unit state senior
Business Analyst Tech Aveev LLC United States Unknown,negative,busi analyst tech aveev llc unit state unknown
"Lead Data Scientist / Data Analyst HunaTek Government Solutions Stafford, VA Unknown",neutral,lead data scientist data analyst hunatek govern solut stafford va unknown
"Sr Consultant, Data Analytics Global Information Technology Chicago, IL Unknown",negative,sr consult data analyt global inform technolog chicago il unknown
"Business Analyst New England Conservatory of Music Boston, MA Unknown",negative,busi analyst new england conservatori music boston unknown
"Research and Data Science Analyst Concepts Beyond, LLC Washington, DC Unknown",negative,research data scienc analyst concept beyond llc washington dc unknown
"Sr Tableau Data Analyst Dutech Austin, TX Unknown",negative,sr tableau data analyst dutech austin tx unknown
"Sr Principal Business Analyst Manhattan Associates Atlanta, GA Unknown",negative,sr princip busi analyst manhattan associ atlanta ga unknown
"Business Analyst (Healthcare experience) Techsara solutions Jersey City, NJ Unknown",negative,busi analyst healthcar experi techsara solut jersey citi nj unknown
Lead Business Intelligence Developer/Analyst Transamerica Remote Unknown,positive,lead busi intellig transamerica remot unknown
"Business Analyst Tata Technologies Inc. Dallas, TX Unknown",negative,busi analyst tata technolog dalla tx unknown
"Lead IT Business Analyst Flagstar Bank Troy, MI Unknown",neutral,lead busi analyst flagstar bank troy mi unknown
"Business Analyst(HR Systems ) Systems Limited Pittsburgh, PA Unknown",negative,busi analyst hr system system limit pittsburgh pa unknown
"Business Analyst Venbrook Insurance Services, LLC Remote Unknown",negative,busi analyst venbrook insur servic llc remot unknown
"Senior Business Analyst (C) ECI - Sacramento Bakersfield, CA Senior",neutral,senior busi analyst c eci sacramento bakersfield ca senior
Business Analyst (1099 Contractor) BLOCKSKYE INC Remote Unknown,negative,busi analyst 1099 contractor blocksky inc remot unknown
"Data Analyst V Dept of Family & Protectve Svc Austin, TX Unknown",negative,data analyst v dept famili protectv svc austin tx unknown
"Client Engagement Lead Analyst; Taft-Hartley - Cigna Healthcare (Bilingual - Boston/Hybrid) The Cigna Group Boston, MA Unknown",neutral,client engag lead analyst cigna healthcar bilingu cigna group boston unknown
"Data Science Analyst II (Dr Elahi's Lab) - Neurology Mount Sinai New York, NY Unknown",negative,data scienc analyst ii dr elahi lab neurolog mount sinai new york ny unknown
Senior Data Analyst - Senior Data Scientist Capgemini Texas Senior,neutral,senior data analyst senior data scientist capgemini texa senior
"Technical Analyst 5-Support Oracle Redwood City, CA Unknown",negative,technic analyst oracl redwood citi ca unknown
"Data Analyst US Federal Energy Regulatory Commission Washington, DC Unknown",negative,data analyst us feder energi regulatori commiss washington dc unknown
"Internal Audit Data and Operations - Technology Lead Business Analyst (VP) (Hybrid) Citi Tampa, FL Unknown",neutral,intern audit data oper technolog lead busi analyst vp hybrid citi tampa fl unknown
"DATA ANALYST CONSULTANTS MI-GSO | PCUBED San Francisco, CA Unknown",negative,data analyst consult pcube san francisco ca unknown
Business Analyst Dutech Systems Texas Unknown,negative,busi analyst dutech system texa unknown
"Senior Data Analyst, Reimbursement (Hybrid, Remote, or Onsite Options) Guardant Health Palo Alto, CA Senior",neutral,senior data analyst reimburs hybrid remot onsit option guardant health palo alto ca senior
"Sr Business Analyst with healthcare research experience innoVet Health, LLC Remote Unknown",negative,sr busi analyst healthcar research experi innovet health llc remot unknown
"State Street Global Advisors, ESG Business Data Analyst, Assistant Vice President State Street Boston, MA Unknown",negative,state street global advisor esg busi data analyst assist vice presid state street boston unknown
"Business Analyst Octo Reston, VA Unknown",negative,busi analyst octo reston va unknown
IT Business Analyst NYC Careers Manhattan Unknown,negative,busi analyst nyc career manhattan unknown
"Program Analyst EBS-4U. INC Washington, DC Unknown",negative,program analyst inc washington dc unknown
DYNAMICS CONSULTANT / BUSINESS ANALYST Procentrix Remote Unknown,negative,dynam consult busi analyst procentrix remot unknown
Business Data Analyst Virtualitics United States Unknown,negative,busi data analyst virtualit unit state unknown
"Senior Business Analyst Dana-Farber Cancer Institute Boston, MA Senior",negative,senior busi analyst cancer institut boston senior
"Senior Analytics & Reporting Analyst HCSC Chicago, IL Senior",neutral,senior analyt report analyst hcsc chicago il senior
"Technical Business Analyst BayOne Pleasanton, CA Unknown",negative,technic busi analyst bayon pleasanton ca unknown
Business Analyst with Salesforce Candid8 Remote Unknown,negative,busi analyst salesforc candid8 remot unknown
"Senior Data Analyst U.S. Bank National Association Minneapolis, MN Senior",neutral,senior data analyst bank nation associ minneapoli mn senior
Senior Product Data Analyst (Gaming) Super Free Games California Senior,positive,senior product data analyst game super free game california senior
"Senior Salesforce Business Analyst Octo Reston, VA Senior",neutral,senior salesforc busi analyst octo reston va senior
Lead Data Analyst SmithRx Remote Unknown,neutral,lead data analyst smithrx remot unknown
Data Analyst III CREDITSERVE INC Remote Unknown,negative,data analyst iii creditserv inc remot unknown
"Program Analyst U.S. Department of State Washington, DC Unknown",negative,program analyst depart state washington dc unknown
Data Informatics Analyst ASA Remote Unknown,negative,data informat analyst asa remot unknown
"VIE - Business Analyst - Houston Schneider Electric Houston, TX Unknown",negative,vie busi analyst houston schneider electr houston tx unknown
"Data Analyst Cloud and Things Inc Albany, NY Unknown",negative,data analyst cloud thing inc albani ny unknown
"Senior Data Analyst TEQDATA Dallas, TX Senior",neutral,senior data analyst teqdata dalla tx senior
"Cloud Data Analyst - DataDelivers DataDelivers LLC Schaumburg, IL Unknown",negative,cloud data analyst datadeliv datadeliv llc schaumburg il unknown
Senior Data Analyst WW International Remote Senior,neutral,senior data analyst ww intern remot senior
"Senior Data Analyst MainStreet San Francisco, CA Senior",neutral,senior data analyst mainstreet san francisco ca senior
"Data Analyst (Azure, Python, PySpark, SQL) eTeam Inc. Texas Unknown",negative,data analyst azur python pyspark sql eteam texa unknown
Senior Data Analyst Intone Networks Remote Senior,neutral,senior data analyst inton network remot senior
SENIOR BUSINESS ANALYST (REMOTE) Compass Corporate Remote Senior,neutral,senior busi analyst remot compass corpor remot senior
SR. Business Analyst Intone Networks Remote Unknown,negative,busi analyst inton network remot unknown
"Data Analyst, Semi Truck Tesla Palo Alto, CA Unknown",negative,data analyst semi truck tesla palo alto ca unknown
"Business Data Analyst - TikTok Monetization Product TikTok San Jose, CA Unknown",negative,busi data analyst tiktok monet product tiktok san jose ca unknown
"Sr. Data Analyst, Service Analytics Lucid Motors Newark, CA Unknown",neutral,data analyst servic analyt lucid motor newark ca unknown
"Business Analyst IBM Washington, DC Unknown",negative,busi analyst ibm washington dc unknown
Senior Healthcare Data Analyst Clarify Health Solutions. Remote Senior,neutral,senior healthcar data analyst clarifi health solut remot senior
"Data Scientist / Analyst Study.com Mountain View, CA Unknown",negative,data scientist analyst mountain view ca unknown
"Data Analyst TextNow San Francisco, CA Unknown",negative,data analyst textnow san francisco ca unknown
Sr. Data Analyst Intone Networks Remote Unknown,negative,data analyst inton network remot unknown
"Lead Data Analyst - Global Quality Mattel El Segundo, CA Unknown",neutral,lead data analyst global qualiti mattel el segundo ca unknown
"Senior Product Data Analyst Academia.edu San Francisco, CA Senior",neutral,senior product data analyst san francisco ca senior
"Senior Analyst, People Analytics DraftKings Boston, MA Senior",neutral,senior analyst peopl analyt draftk boston senior
"Senior/Principal Business Intelligence Analyst (Global Customer Support) Workday Atlanta, GA Senior",positive,busi intellig analyst global custom support workday atlanta ga senior
"Data Visualization Specialist: US Decision Apple Cupertino, CA Unknown",negative,data visual specialist us decis appl cupertino ca unknown
"Principal Business Analyst - Research - Business Intelligence Mayo Clinic Rochester, MN Unknown",neutral,princip busi analyst research busi intellig mayo clinic rochest mn unknown
"Data Analyst Govcio LLC Fairfax, VA Unknown",negative,data analyst govcio llc fairfax va unknown
Digital Business Analyst (Hybrid) Bessemer Trust Company United States Unknown,neutral,digit busi analyst hybrid bessem trust compani unit state unknown
"Senior Data Analyst - Marketing Analytics Redfin Seattle, WA Senior",neutral,senior data analyst market analyt redfin seattl wa senior
"Expert Business Analyst- Flexible Location PG&E Corporation San Ramon, CA Unknown",neutral,expert busi flexibl locat pg e corpor san ramon ca unknown
"Sr Actuarial Data Analyst Uber New York, NY Unknown",negative,sr actuari data analyst uber new york ny unknown
"Senior Data Analyst, Marketing current New York, NY Senior",neutral,senior data analyst market current new york ny senior
"Lead Data Analyst, Management Data Analysis National Grid Worcester, MA Unknown",neutral,lead data analyst manag data analysi nation grid worcest unknown
"Senior Staff Consultant, Business Analyst Nagarro Remote Senior",neutral,senior staff consult busi analyst nagarro remot senior
"Business Intelligence Analyst IV UCLA Health Los Angeles, CA Unknown",neutral,busi intellig analyst iv ucla health lo angel ca unknown
Senior Data Analyst (Business Insights) Harry's United States Senior,neutral,senior data analyst busi insight harri unit state senior
"Senior Analyst, Customer Data Effectv Philadelphia, PA Senior",neutral,senior analyst custom data effectv philadelphia pa senior
Senior Data Analyst - Marketing Analytics The Athletic Media Company United States Senior,neutral,senior data analyst market analyt athlet media compani unit state senior
"Data and Reporting Business Analyst EO of Labor & Work Dvlpmnt Boston, MA Unknown",neutral,data report busi analyst eo labor work dvlpmnt boston unknown
"Data Strategy and Management Agile Defense, Inc. Washington, DC Unknown",neutral,data strategi manag agil defens washington dc unknown
"Senior Energy Management Analyst City of Seattle Seattle, WA Senior",neutral,senior energi manag analyst citi seattl seattl wa senior
"Senior Analyst, Post Order Product Analytics Wayfair Boston, MA Senior",neutral,senior analyst post order product analyt wayfair boston senior
"Senior Business Analyst Home Depot / THD Atlanta, GA Senior",neutral,senior busi analyst home depot thd atlanta ga senior
"Cloud FinOps Analyst Inclusively Westlake, TX Unknown",negative,cloud finop analyst inclus westlak tx unknown
"Revenue Operations Data Analyst Rippling San Francisco, CA Unknown",negative,revenu oper data analyst rippl san francisco ca unknown
"Senior Data Analyst - Contract Operations BD Franklin Lakes, NJ Senior",neutral,senior data analyst contract oper bd franklin lake nj senior
"Lead Data Analyst - Enterprise Solutions Quartz Madison, WI Unknown",neutral,lead data analyst enterpris solut quartz madison wi unknown
"Senior Analyst, Master Data Management T-Mobile Overland Park, KS Senior",positive,senior analyst master data manag overland park ks senior
"Senior Business Analyst Stanford University Redwood City, CA Senior",neutral,senior busi analyst stanford univers redwood citi ca senior
"Cloud Cost/FinOps Data Analyst OrangePeople Seattle, WA Unknown",negative,cloud data analyst orangepeopl seattl wa unknown
"Lead Data Science Analyst (multiple openings) - IHM Discover Financial Services Riverwoods, IL Unknown",neutral,lead data scienc analyst multipl open ihm discov financi servic riverwood il unknown
"Senior Management Analyst City of Goleta Goleta, CA Senior",neutral,senior manag analyst citi goleta goleta ca senior
"Senior Associate, Data Analytics Engineering Options Clearing Corporation Dallas, TX Senior",neutral,senior associ data analyt engin option clear corpor dalla tx senior
"Data Management Analyst SAIC Chantilly, VA Unknown",negative,data manag analyst saic chantilli va unknown
"Senior Business Analyst (Loans and Deposits), GA Globant Alpharetta, GA Senior",neutral,senior busi analyst loan deposit ga globant alpharetta ga senior
"Senior Business Analyst BAE Systems Washington, DC Senior",neutral,senior busi analyst bae system washington dc senior
"Senior Business Analyst (Hybrid) Stryker Portage, MI Senior",neutral,senior busi analyst hybrid stryker portag mi senior
"Business Analyst Tata Technologies Inc. Dallas, TX Unknown",negative,busi analyst tata technolog dalla tx unknown
"Cyber Security Incident Response Analyst IBM Austin, TX Unknown",negative,cyber secur incid respons analyst ibm austin tx unknown
"Salesforce Analyst (Remote) World Education Services New York, NY Unknown",negative,salesforc analyst remot world educ servic new york ny unknown
EHR Data Conversion Analyst – (Allscripts to Epic) ClinDCast LLC United States Unknown,negative,ehr data convers analyst allscript epic clindcast llc unit state unknown
"Digital Insights Analyst GOBankingRates Austin, TX Unknown",negative,digit insight analyst gobankingr austin tx unknown
"Business Analyst Cybotic System Silver Spring, MD Unknown",negative,busi analyst cybot system silver spring md unknown
"Field Analyst - Data Visualization and Analysis CCL Global The Woodlands, TX Unknown",negative,field analyst data visual analysi ccl global woodland tx unknown
"Compliance Analyst II, Cloud Security Data Protection & Privacy Hashicorp Remote Unknown",negative,complianc analyst ii cloud secur data protect privaci hashicorp remot unknown
"Senior Business Intelligence Developer (Senior Consultant MIS- Level B) , Data Sciences and Support NYC Health + Hospitals New York, NY Senior",positive,senior busi intellig develop senior consult level b data scienc support nyc health hospit new york ny senior
"Senior Contract Management Analyst PG&E Corporation Oakland, CA Senior",neutral,senior contract manag analyst pg e corpor oakland ca senior
"Master Data Management - Data/Process Analyst Open Text Corporation Dallas, TX Unknown",neutral,master data manag analyst open text corpor dalla tx unknown
"Principal Business Analyst (multiple openings) - IHM Discover Financial Services Riverwoods, IL Unknown",negative,princip busi analyst multipl open ihm discov financi servic riverwood il unknown
"REMOTE Financial Analyst Staff - Generating Availability Data Systems (GADS) American Electric Power Columbus, OH Unknown",negative,remot financi analyst staff gener avail data system gad american electr power columbu oh unknown
Epic Business Intelligence Analyst (Product Owner) Yakima Valley Farm Workers Clinic United States Unknown,neutral,epic busi intellig analyst product owner yakima valley farm worker clinic unit state unknown
"Lead Data Analyst & Visualization Developer (Hybrid) Chamberlain Group Oak Brook, IL Unknown",neutral,lead data analyst visual develop hybrid chamberlain group oak brook il unknown
"Business Process Data Analyst Chubb Philadelphia, PA Unknown",negative,busi process data analyst chubb philadelphia pa unknown
"Search Engine Optimization Strategist and Analyst Booz Allen Hamilton Washington, DC Unknown",negative,search engin optim strategist analyst booz allen hamilton washington dc unknown
"Staff Data Analyst - Activision Blizzard Media King San Francisco, CA Unknown",negative,staff data analyst activis blizzard media king san francisco ca unknown
"Cyber Program Analyst Booz Allen Hamilton McLean, VA Unknown",negative,cyber program analyst booz allen hamilton mclean va unknown
"Principal HEOR Data Analyst Boston Scientific Corporation Maple Grove, MN Unknown",negative,princip heor data analyst boston scientif corpor mapl grove mn unknown
"Senior Salesforce Business Analyst IBM Washington, DC Senior",neutral,senior salesforc busi analyst ibm washington dc senior
Senior Performance Analyst BECU Washington State Senior,neutral,senior perform analyst becu washington state senior
"Analytics & Business Intelligence Specialist 3 or Senior MidAmerican Energy Las Vegas, NV Senior",positive,analyt busi intellig specialist 3 senior midamerican energi la vega nv senior
"Senior Data Analyst Radiance Technologies Crystal City, VA Senior",positive,senior data analyst radianc technolog crystal citi va senior
Lead Data Analyst SmithRx Remote Unknown,neutral,lead data analyst smithrx remot unknown
Quality Business Analyst Accenture United States Unknown,negative,qualiti busi analyst accentur unit state unknown
"Staff Business Analyst, Business Process Procore Technologies Oregon Unknown",negative,staff busi analyst busi process procor technolog oregon unknown
Management & Program Analyst U.S. Army Test and Evaluation Command Redstone Arsenal Unknown,negative,manag program analyst armi test evalu command redston arsen unknown
"Software Engineer / Data Analyst Skyworks Irvine, CA Unknown",negative,softwar engin data analyst skywork irvin ca unknown
"Senior Data Analyst LIVE - USDS TikTok Los Angeles, CA Senior",neutral,senior data analyst live usd tiktok lo angel ca senior
"Senior Business Analyst, Supplier Advertising & Merchandising Services Wayfair Boston, MA Senior",neutral,senior busi analyst supplier advertis merchandis servic wayfair boston senior
"Data Analyst 3 - 88073 Health, Department of Albany, NY Unknown",negative,data analyst 3 88073 health depart albani ny unknown
"Lead Business Analyst - Remote, US Earnest Current Job Openings San Francisco, CA Unknown",positive,lead busi analyst remot us earnest current job open san francisco ca unknown
Senior Clinical Data Visualization Specialist DGN Technologies Remote Senior,neutral,senior clinic data visual specialist dgn technolog remot senior
"Senior Data Analyst - Revenue Management Public Storage Glendale, CA Senior",neutral,senior data analyst revenu manag public storag glendal ca senior
"Sr. Data Scientist (Strategic Insights) PlayStation Global San Mateo, CA Unknown",negative,data scientist strateg insight playstat global san mateo ca unknown
"Principal Data Analyst - Regional Economic Engagement Specialist Houston-Galveston Area Council Houston, TX Unknown",negative,princip data analyst region econom engag specialist area council houston tx unknown
Senior Analyst Data Engineer (Remote) Vail Resorts Remote Senior,neutral,senior analyst data engin remot vail resort remot senior
"Sr. Business Analyst, Seller Strategic Communications Amazon.com Services LLC Arlington, VA Unknown",negative,busi analyst seller strateg commun servic llc arlington va unknown
"Senior Specialist, Data and Reporting Lucile Packard Foundation Palo Alto, CA Senior",neutral,senior specialist data report lucil packard foundat palo alto ca senior
"Sr. Technical Lead, Data and Analytics Lennar Homes Miami, FL Unknown",neutral,technic lead data analyt lennar home miami fl unknown
"Senior Data Analyst/Modeler GreatRiverEnergy Maple Grove, MN Senior",neutral,senior data greatriverenergi mapl grove mn senior
Financial Data Reporting Analyst AR Val services Remote Unknown,negative,financi data report analyst ar val servic remot unknown
"SAP Business Data Analyst SUNSWEET GROWERS INC. Yuba City, CA Unknown",negative,sap busi data analyst sunsweet grower yuba citi ca unknown
Principal Financial Analyst-OCI- Data Centers and Networking Oracle United States Unknown,negative,princip financi data center network oracl unit state unknown
"Data Analyst Bethesda Game Studios Rockville, MD Unknown",negative,data analyst bethesda game studio rockvil md unknown
Epic Business Intelligence Reporting and Analytics Developer/Analyst Nexlogica Remote Unknown,neutral,epic busi intellig report analyt nexlogica remot unknown
"Analyst, Analytics and Information, Taipei Xelay Acumen San Mateo, CA Unknown",neutral,analyst analyt inform taipei xelay acumen san mateo ca unknown
"Actuarial Data Analyst Horizon Blue Cross Blue Shield of New Jersey Newark, NJ Unknown",negative,actuari data analyst horizon blue cross blue shield new jersey newark nj unknown
"Software Licensing Analyst Lead Macy’s Johns Creek, GA Unknown",neutral,softwar licens analyst lead maci john creek ga unknown
"Data Analyst - Subject Matter Expert -SME Noblis Bethesda, MD Unknown",negative,data analyst subject matter expert nobli bethesda md unknown
"Business Analysis CO-OP (Boston) The Boston Beer Company Boston, MA Unknown",negative,busi analysi boston boston beer compani boston unknown
"1054-IS Business Analyst-Principal_SFO (141999) City and County of San Francisco San Francisco, CA Unknown",negative,busi 141999 citi counti san francisco san francisco ca unknown
"Senior Business Analyst (Process Improvement) BayOne Pleasanton, CA Senior",positive,senior busi analyst process improv bayon pleasanton ca senior
"Business Intelligence Analyst Applanix Westminster, CO Unknown",neutral,busi intellig analyst applanix westminst co unknown
Senior Investment Data Analyst Inclusively United States Senior,neutral,senior invest data analyst inclus unit state senior
"Systems and Data Analyst (System - Application Analysis) Experienced or Sr BOEING Seattle, WA Unknown",negative,system data analyst system applic analysi experienc sr boe seattl wa unknown
"Senior Staff Analyst Heluna Health Alhambra, CA Senior",neutral,senior staff analyst heluna health alhambra ca senior
"Senior Financial Analyst Edison International Rosemead, CA Senior",neutral,senior financi analyst edison intern rosemead ca senior
Technical Business Analyst CoStar Group United States Unknown,negative,technic busi analyst costar group unit state unknown
"Analytics Analyst / Senior - Clinical Development & Operations (Hybrid) BI Pharmaceuticals, Inc. Ridgefield, CT Senior",neutral,analyt analyst senior clinic develop oper hybrid bi pharmaceut ridgefield ct senior
Salesforce Analyst Global IT Resources Remote Unknown,negative,salesforc analyst global resourc remot unknown
"Technical Business Analyst - Medical IT Ascendis Pharma Princeton, NJ Unknown",negative,technic busi analyst medic ascendi pharma princeton nj unknown
Technical Business Analyst US Heathcare Product Company United States Unknown,negative,technic busi analyst us heathcar product compani unit state unknown
"Workforce Analyst, Mission Control Analytics Meta San Francisco, CA Unknown",negative,workforc analyst mission control analyt meta san francisco ca unknown
"Fixed Income Technical Business Analyst-Vice President Sumitomo Mitsui Banking Corporation New York, NY Unknown",negative,fix incom technic busi presid sumitomo mitsui bank corpor new york ny unknown
"Business Analyst Project Consulting Group (PCG) Stillwater, MN Unknown",negative,busi analyst project consult group pcg stillwat mn unknown
"Principal Strategic Planning & Business Development Analyst - Strategy Keck Medical Center of USC Los Angeles, CA Unknown",negative,princip strateg plan busi develop analyst strategi keck medic center usc lo angel ca unknown
"Business Analyst LTIMindtree San Jose, CA Unknown",negative,busi analyst ltimindtre san jose ca unknown
"Sr. Business Analyst American Honda Motor Co Torrance, CA Unknown",negative,busi analyst american honda motor co torranc ca unknown
"Senior Business Analyst People Technology and Processes LLC Rockville, MD Senior",neutral,senior busi analyst peopl technolog process llc rockvil md senior
"Data Analyst Level 2 IntelliGenesis, LLC United States Unknown",negative,data analyst level 2 intelligenesi llc unit state unknown
Senior Data Analyst Naviguard Remote Senior,neutral,senior data analyst naviguard remot senior
PM / BA Zia Consulting Remote Unknown,negative,pm ba zia consult remot unknown
"Development Data Analyst, Global Vantage Data Centers Denver, CO Unknown",negative,develop data analyst global vantag data center denver co unknown
Senior Technical Consultant Analyst Amadeus United States Senior,neutral,senior technic consult analyst amadeu unit state senior
"Intelligence Analyst Subject Matter Expert 1 Parker Tide Corp. Washington, DC Unknown",neutral,intellig analyst subject matter expert 1 parker tide washington dc unknown
"Business Analyst, Principal (Short Term Employment) Blue Shield of California Oakland, CA Unknown",negative,busi analyst princip short term employ blue shield california oakland ca unknown
"Investment Analyst Sr J. Paul Getty Trust, The Los Angeles, CA Unknown",neutral,invest analyst sr paul getti trust lo angel ca unknown
"Principal Business Systems Analyst, Data Security MathWorks Natick, MA Unknown",negative,princip busi system analyst data secur mathwork natick unknown
"Senior Business Analyst Sagitec Saint Paul, MN Senior",positive,senior busi analyst sagitec saint paul mn senior
Lead Data Analyst - Healthcare Revenue Cycle (Epic HB/PB/SQL) - 100% Remote BlueSky Technology Solutions Remote Unknown,neutral,lead data analyst healthcar revenu cycl epic 100 remot blueski technolog solut remot unknown
Data Analyst (DHS or TS Cleared) Amivero Virginia Unknown,neutral,data analyst dh ts clear amivero virginia unknown
"Business Analyst CenCal Health Santa Barbara, CA Unknown",negative,busi analyst cencal health santa barbara ca unknown
"Senior BI Analyst coty New York, NY Senior",neutral,senior bi analyst coti new york ny senior
"Data quality Analyst (W2) Techsara solutions Irving, TX Unknown",negative,data qualiti analyst w2 techsara solut irv tx unknown
Epic Orders Analyst ClinDCast LLC Remote Unknown,negative,epic order analyst clindcast llc remot unknown
"Sr. Data Analyst Bainbridge, Inc. Remote Unknown",negative,data analyst bainbridg remot unknown
"Senior Business Analyst Clarity Partners LLC Chicago, IL Senior",positive,senior busi analyst clariti partner llc chicago il senior
Salesforce Business Analyst Hermitage Infotech New Jersey Unknown,negative,salesforc busi analyst hermitag infotech new jersey unknown
"Sr. Functional Consultant/Business Analyst – Salesforce Mirketa Dublin, CA Unknown",negative,function analyst salesforc mirketa dublin ca unknown
"Business Analyst Intone Networks New York, NY Unknown",negative,busi analyst inton network new york ny unknown
"Senior Technical Business Analyst Surya Systems San Francisco, CA Senior",neutral,senior technic busi analyst surya system san francisco ca senior
"Principal Personnel Analyst (OPEN UNTIL FILLED) City of Richmond, CA Richmond, CA Unknown",negative,princip personnel analyst open fill citi richmond ca richmond ca unknown
Product Data Hub (Oracle Cloud)Analyst / Developer Miracle Software Systems Ohio Unknown,negative,product data hub oracl cloud analyst develop miracl softwar system ohio unknown
"Senior Analyst, Data Architect Royal Caribbean Group United States Senior",neutral,senior analyst data architect royal caribbean group unit state senior
Business System Analyst H2 Performance Consulting Remote Unknown,negative,busi system analyst h2 perform consult remot unknown
"Principal Business Analyst Medtronic Minneapolis, MN Unknown",negative,princip busi analyst medtron minneapoli mn unknown
"Business Analyst INTELETECH GLOBAL INC Altamonte Springs, FL Unknown",negative,busi analyst inteletech global inc altamont spring fl unknown
"Epic Business Intelligence Reporting and Analytics Developer/Analyst Golden Five LLC Santa Clara, CA Unknown",positive,epic busi intellig report analyt golden five llc santa clara ca unknown
"Senior Business Analyst Crum & Forster Morristown, NJ Senior",neutral,senior busi analyst crum forster morristown nj senior
"Technical BA Analyst Trinity Solar Careers Iselin, NJ Unknown",negative,technic ba analyst triniti solar career iselin nj unknown
"Application Development Analyst – Data Intelligence Judicial Council of California San Francisco, CA Unknown",neutral,applic develop analyst data intellig judici council california san francisco ca unknown
"Senior Analyst, Corporate Development Velocity Black McLean, VA Senior",neutral,senior analyst corpor develop veloc black mclean va senior
"Sr. Lead Data Analyst TIAA Charlotte, NC Unknown",neutral,lead data analyst tiaa charlott nc unknown
"Sr. Energy Fleet Data Analyst Tesla Palo Alto, CA Unknown",negative,energi fleet data analyst tesla palo alto ca unknown
"Senior Data Analyst Wonderstorm Los Angeles, CA Senior",neutral,senior data analyst wonderstorm lo angel ca senior
"Data Analyst - Level 2 OPS Consulting, LLC United States Unknown",negative,data analyst level 2 op consult llc unit state unknown
Enrollment BA Intone Networks Remote Unknown,negative,enrol ba inton network remot unknown
"Senior Technical Business Analyst JPMorgan Chase & Co Washington, NJ Senior",neutral,senior technic busi analyst jpmorgan chase co washington nj senior
"Energy Application Business Analyst Vision Houston, TX Unknown",negative,energi applic busi analyst vision houston tx unknown
"Data Analyst Lead Vedainfo San Diego, CA Unknown",neutral,data analyst lead vedainfo san diego ca unknown
"Senior Business Analyst DiamondPick East Lansing, MI Senior",neutral,senior busi analyst diamondpick east lans mi senior
Sr. Data Analyst Ampcus Incorporated United States Unknown,negative,data analyst ampcu incorpor unit state unknown
"Principal Business Analyst Manhattan Associates Atlanta, GA Unknown",negative,princip busi analyst manhattan associ atlanta ga unknown
"Sr. Data Analyst Advantage Pro LC Brookfield, CT Unknown",neutral,data analyst advantag pro lc brookfield ct unknown
"Business Technical Analyst (Data) eTeam Inc. Jersey City, NJ Unknown",negative,busi technic analyst data eteam jersey citi nj unknown
"Healthcare Analyst - Revenue Cycle Automation and Analytics, Financial Operations Amazon.com Services LLC Arlington, VA Unknown",negative,healthcar analyst revenu cycl autom analyt financi oper servic llc arlington va unknown
"Client Coverage Management Business Analyst (Hybrid) Citi New York, NY Unknown",negative,client coverag manag busi analyst hybrid citi new york ny unknown
"Sr Principal Business Analyst Manhattan Associates Atlanta, GA Unknown",negative,sr princip busi analyst manhattan associ atlanta ga unknown
